h3,do_date,country_iso,country_iso_a3,population,female,male,female_under_1,female_1_to_4,female_5_to_9,female_10_to_14,female_15_to_19,female_20_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_64,female_65_to_69,female_70_to_74,female_75_to_79,female_80_and_over,male_under_1,male_1_to_4,male_5_to_9,male_10_to_14,male_15_to_19,male_20_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_64,male_65_to_69,male_70_to_74,male_75_to_79,male_80_and_over,retail,education,financial,food_drink,healthcare,leisure,tourism,transportation,elevation,urbanity,tmin_jan,tmin_feb,tmin_mar,tmin_apr,tmin_may,tmin_jun,tmin_jul,tmin_aug,tmin_sep,tmin_oct,tmin_nov,tmin_dec,tmax_jan,tmax_feb,tmax_mar,tmax_apr,tmax_may,tmax_jun,tmax_jul,tmax_aug,tmax_sep,tmax_oct,tmax_nov,tmax_dec,tavg_jan,tavg_feb,tavg_mar,tavg_apr,tavg_may,tavg_jun,tavg_jul,tavg_aug,tavg_sep,tavg_oct,tavg_nov,tavg_dec,prec_jan,prec_feb,prec_mar,prec_apr,prec_may,prec_jun,prec_jul,prec_aug,prec_sep,prec_oct,prec_nov,prec_dec,srad_jan,srad_feb,srad_mar,srad_apr,srad_may,srad_jun,srad_jul,srad_aug,srad_sep,srad_oct,srad_nov,srad_dec,wind_jan,wind_feb,wind_mar,wind_apr,wind_may,wind_jun,wind_jul,wind_aug,wind_sep,wind_oct,wind_nov,wind_dec,vapr_jan,vapr_feb,vapr_mar,vapr_apr,vapr_may,vapr_jun,vapr_jul,vapr_aug,vapr_sep,vapr_oct,vapr_nov,vapr_dec
882a100f65fffff,2021-10-01,United States,USA,846.31719535628054,451.67198514968993,394.64521020659055,4.6425124647023654,17.284299190268175,18.139627928125474,22.37832790066259,38.156146603201222,50.399993141465018,41.801488846135463,31.634593400379721,26.771431968646219,23.466599811550349,18.040272563790449,23.696542767654687,26.329322961775706,27.750141843176607,25.062490908161021,20.91893712551699,13.996903469857109,21.202352254620713,4.8247785263597569,17.96368488406522,18.755856740745472,21.630592189091146,31.625935944846002,42.791373533385809,39.037049969540789,30.353131229681711,26.2474245414414,22.718464142232015,18.60739621015097,21.540996221944056,22.403052827040522,21.658654815377531,18.681432582016932,15.26761266426595,9.755151214382721,10.782621970022644,0,0,0,1,0,1,0,3,11.664722222222228,Very_High_density_urban,-4.4289360999992082,-3.6579878493703144,0.37106397545785919,5.2710640148930628,10.997398175331071,16.197398938270528,19.399999618530273,18.764094440732027,14.504367513890156,8.36846199367186,3.6420121029459698,-1.4579878413560579,3.6043674143130029,4.9443818807451994,9.6973980094090475,15.779466474359289,21.793030031430547,26.593031042910646,29.526450105300167,28.562355586468779,24.399999618530273,18.200000762939453,12.21793172578462,6.4043675884317315,-0.39563250899131769,0.62490115281518144,5.0205336184635589,10.5,16.399999618530273,21.399999618530273,24.483833797514578,23.683834560454031,19.450530141014898,13.304367638160471,7.9179319015684815,2.4710639953682243,92.469836424473741,75.205336380459642,104.89484000747399,102.0342262469393,109.43436955168038,91.298726290953425,111.0342262469393,107.82888986647967,100.0082080995013,89.0082080995013,102.4343695516804,93.205336380459656,6012.3836243731657,9096.8775752784932,12611.454673898557,16351.918964837294,18938.831027708842,20448.556775473771,20155.652659817573,17955.987892403478,14495.351002817948,10599.917023477397,6719.4072245210318,5269.7267577272723,4.8000001907348633,4.9000000953674316,5,4.8000001907348633,4.1999998092651367,4,3.7000000476837158,3.5999999046325684,3.7999999523162846,4,4.5,4.68643549612839,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.75,1.1797397663216616,1.6799999475479126,2.0299999713897705,2.0186435496128392,1.5950530615323244,1.0399999618530273,0.72000002861022949,0.49000000953674322
882a100f29fffff,2021-10-01,United States,USA,1179.8406476684258,614.15376503599691,565.686882632428,6.751182362838315,25.134980115868856,28.968384789274104,31.162775859249852,41.653139943164945,54.462293019694371,51.588972633665833,43.271165054335064,38.647367014188418,35.727541764538628,28.057145404288555,36.91517915549494,39.081581775528285,38.578757321949034,33.617443999152876,29.242031122799482,19.970201052911818,31.323622647053678,7.09125514587054,26.402262789294994,30.108300963311773,32.799154487254448,41.448364890738489,52.346179813692139,50.976662244245169,43.3803995740068,38.082852035973893,34.253042404047314,29.415253397859189,34.066890580947678,34.420999838298613,32.258320017615567,26.337414942579,21.990443810154229,13.841597682376001,16.467488014162246,0,0,0,0,0,0,0,2,12.6505376344086,Very_High_density_urban,-4.2712801927911359,-3.5167175567961628,0.483282428257162,5.3832825385712679,11.091089959599262,16.312503708077372,19.491733876232683,18.891089196659816,14.612504478308457,8.5040527883202142,3.7325898602350374,-1.3167175290413469,3.6898143191283959,4.9795173857928248,9.6999998092651367,15.763014111511863,21.76236957747415,26.562370004143578,29.5,28.5,24.399999618530273,18.272954047580345,12.213094686395086,6.4795173857928248,-0.28814005181344871,0.723679458587859,5.0910895252501476,10.591089959599266,16.399999618530273,21.399999618530273,24.5,23.700000762939453,19.5,13.383282141449705,7.9832824432038372,2.5795172904253949,92.111752054272856,74.999999999999986,103.53072480412975,100.20085593307317,108.04643346672543,89.902731933908782,110.03368020568028,107.03765061001654,98.996029595663785,87.996029595663785,101.04643346672543,92.98080378250134,6271.2110471584328,9394.64036393955,12887.02199448934,16519.057193219393,19140.727458570564,20822.964120998655,20516.136228702169,18175.092034862741,14533.097921797433,10623.844435891406,6873.7093554721814,5517.0224190317886,4.8000001907348633,4.9000000953674316,5,4.8000001907348633,4.1999998092651367,3.9999999999999996,3.7000000476837158,3.5999999046325684,3.8012752802451635,4.0292217982359,4.5,4.6999998092651367,0.38999998569488525,0.40000000596046448,0.5299999713897704,0.75,1.1799999475479126,1.6799999475479124,2.0299999713897705,2.0199999809265137,1.6000000238418579,1.0399999618530273,0.72000002861022949,0.49000000953674322
882a100f2dfffff,2021-10-01,United States,USA,1035.5822069609922,552.51865439231472,483.06355256867749,4.8968394415844649,18.231171296107355,17.505417892410946,23.371478609868173,49.030608710105668,68.319953910571883,54.330241279076731,39.383625287436679,31.863340561553763,27.188846517078186,17.800662876929977,28.215318466040955,32.709701351061007,35.542049509625905,32.190279345957634,26.725704499295336,17.79591768126275,27.417497156347338,5.0991154273323,18.985099967311506,17.94312902560846,21.280178118152431,37.923473718363127,57.342110814566773,52.140880429758738,39.331112446357174,32.798138575798127,27.848302863809902,18.267074250733241,26.480021683770048,28.305206463562623,27.800907153369057,24.234023401262665,19.926308047873945,12.957570332265991,14.400899848781467,0,0,0,3,2,1,0,9,12.539285714285711,Very_High_density_urban,-4.2243584783748762,-3.5029229184193289,0.49707707896737591,5.3970771769481019,11.081169647206906,16.281785156135253,19.481169265737179,18.881168884267453,14.597897255296502,8.4976933618142461,3.7944238822533323,-1.302922874220007,3.6972806397003208,4.9970289329725581,9.6999998092651367,15.705527757079182,21.705528605316662,26.505527947814056,29.5,28.5,24.399999618530273,18.203425525134538,12.29380779991196,6.4970289329725581,-0.30210312397681072,0.79170453209005653,5.0972805031327386,10.581169647206906,16.399999618530273,21.399999618530273,24.5,23.700000762939453,19.5,13.397076714048518,7.99707708158067,2.5970288376051278,92.938076327991055,75.161112583362865,103.97394994480163,101.2874955356494,109.09715374021805,90.320189995589885,111.09715374021805,107.16159406990317,100.09667225367774,89.096672253677724,102.09715374021805,93.161112583362865,6311.3248482432864,9448.8845545458444,12930.988750374443,16511.335449675069,19127.172552069191,20811.980898288417,20467.57463822166,18165.3701040447,14532.006126117367,10613.047266671949,6891.8401440827547,5549.5372422033679,4.8000001907348633,4.9000000953674316,5,4.8000001907348633,4.1999998092651367,4,3.7000000476837158,3.5999999046325684,3.7999999523162842,4.0008198081519426,4.5,4.6999998092651367,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.75,1.1799999475479126,1.6799999475479126,2.0299999713897705,2.0199999809265137,1.6000000238418579,1.0399999618530273,0.72000002861022949,0.49000000953674316
882a107211fffff,2021-10-01,United States,USA,1.3030594332137759,0.66251976007905244,0.64053967313472415,0.0085871133107241759,0.031970239527602716,0.031015291401370066,0.032627149833854174,0.045796718398970468,0.071683833792320392,0.068299537725116211,0.050793920680644714,0.041214686195601771,0.036402766354568593,0.030690996650099778,0.03622996155602845,0.037790985607521359,0.036209532800293535,0.03136735632448031,0.027182674608783642,0.018329546063975886,0.026327449247096096,0.00904582479493536,0.033679546126605217,0.032652525867408057,0.036126601142097925,0.048765273072455088,0.074094899644425186,0.071619467535676509,0.054649942263577847,0.042253913184336189,0.036150723343841139,0.032019856298473773,0.034187955534027939,0.033897966574518448,0.030391228920723875,0.024840808899072402,0.02001359170120089,0.012851204013070607,0.013298344218277629,0,0,0,0,0,0,0,0,0.2245495495495495,Very_High_density_urban,-4.1917317493574862,-3.3327379051087145,0.614074818453941,5.4665605698850586,11.163053711571736,16.263498162975097,19.415618508175424,18.763302364118477,14.553673289612435,8.4761368481407757,3.8112704508409312,-1.2238630088847149,3.8380684833568104,5.3289449274734011,9.9194898550841426,15.761931589924833,21.790313576447119,26.5217413501437,29.48781409473543,28.455742668342207,24.395536720045232,18.299999237060547,12.428944581818106,6.6227559975336341,-0.16660500682733184,0.97320195398206621,5.2630537406940059,10.604661163068243,16.490876275467521,21.39674163046001,24.442004528556762,23.600000381469727,19.494504849288607,13.397864161567085,8.137496812355856,2.673201897021519,95.057440012036452,76.148676909320088,104.66112153934291,103.93060181618584,111.93187340190443,93.338184430288962,115.34263121074632,109.01776742436012,103.45362413797979,92.658632824797877,104.60495311302505,94.85130009482,6372.6346615193661,9518.1438287386136,13012.547493785869,16454.384824960056,19109.310634049267,20665.546427323985,20426.63389097009,18129.773432564674,14523.633098468725,10627.577977512523,6834.28780964033,5575.6545196219422,4.6967558722487484,4.7967562382501647,4.9000000953674316,4.6999998092651367,4.0999999046325684,3.9000000953674316,3.5999999046325684,3.4511284861270077,3.7061760413856208,3.9059272178521756,4.3967561583510433,4.5430114947750733,0.38999998569488525,0.40059271820893877,0.53059268717108843,0.75,1.1799999475479126,1.682836468240628,2.035437434125746,2.0204215935466463,1.6000000238418579,1.0405926741015019,0.72000002861022949,0.49000000953674316
882a100f21fffff,2021-10-01,United States,USA,431.196967216798,226.00125985710972,205.19570735968833,2.3491440699265609,8.74597750612899,9.6769978808849881,10.931670295250317,16.655788929832809,22.261650163577592,19.893943752193021,15.975556912560217,13.88794474296771,12.578212035004638,9.4697857052741785,13.010425375127596,14.100090689718224,14.292457124382606,12.594475522384252,10.808784008282137,7.3292498230599046,11.439105320554003,2.4623758166742622,9.1679530182648836,10.028936988674374,11.124411738433574,15.325436683853924,20.440369403595508,19.480363887878283,15.998429104142073,13.845965212429144,12.263794136693271,9.8827607427417377,12.057324380259754,12.360736071448594,11.730499451530399,9.75387229048957,8.1086253153569032,5.1515749201805363,6.0122781970415158,0,0,0,4,0,1,0,2,13.058673469387754,Very_High_density_urban,-4.1590441316109086,-3.4488071333524895,0.52803390654499671,5.42803396826619,11.129274308570489,16.346401089704408,19.529274206280292,18.922680913525781,14.669083086588239,8.5683204867366,3.8396176594917741,-1.2492848664452432,3.7287963615447812,5.0201029037449709,9.7226811042606425,15.71052163231505,21.710522385302287,26.51052182304992,29.49340708871522,28.493407088715223,24.399521863422702,18.256445606909274,12.270534870526955,6.520580656574432,-0.2309171233252364,0.81034358256152106,5.1287962184936342,10.600000381469727,16.399999618530273,21.428796069702997,24.5,23.700000762939453,19.522681294995508,13.428033632376296,8.0280340102104155,2.6266957568808174,92.644196593431033,75.292740946084777,104.19514753385411,100.71012545478018,108.63657217653677,89.992375583105741,110.6977235050351,107.31089938476,99.396379185976741,88.391601653125932,101.63657217653677,93,6210.9136186160149,9331.0961867811257,12821.329541870817,16495.84641617383,19124.777377178114,20812.596730712212,20497.620545312362,18167.196723731602,14534.880572265391,10623.306578414858,6836.0098293534211,5452.3599640882858,4.8000001907348633,4.9000000953674316,5,4.8000001907348633,4.1999998092651367,3.99952224717054,3.7000000476837158,3.5995221518031078,3.7999999523162842,4.040571192498291,4.5,4.6999998092651367,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.75,1.179952172264966,1.6799999475479126,2.0299999713897705,2.0199999809265137,1.5999522485589113,1.0399999618530273,0.72000002861022949,0.49000000953674316
882a100887fffff,2021-10-01,United States,USA,3371.2544760109436,1798.6799893624018,1572.574486648542,15.941266352675521,59.350109599477676,56.98747834340864,76.083966294693653,159.61520054364465,222.41010602746283,176.8677268068667,128.21022329990595,103.72853908437224,88.511100400999382,57.948624350051716,91.852697340674339,106.48379900821179,115.70428144781241,104.79286221497669,87.003378805156146,57.933176330198748,89.255453111812926,16.599759427581482,61.804464153463712,58.412411110459907,69.27590325588109,123.45681558664931,186.67262551503515,169.74043515177422,128.03926953599216,106.77169932373641,90.657907112092644,59.466989036903776,86.20357746526409,92.14532022244768,90.503613012212,78.891910097970566,64.868490405578214,42.182326425170288,46.880969810329304,0,1,0,3,0,2,0,1,8.3576206140350866,Very_High_density_urban,-4.29408747119056,-3.4672259221096731,0.41473399264890792,5.3143026433909615,10.986391732402666,16.186117748361351,19.31195500597924,18.686117748361351,14.586182260782845,8.5371296022269672,3.905702839317029,-1.2729255779923923,3.7381557404015386,5.1872310725275721,9.75291467156154,15.69789513746754,21.744993906139818,26.534874529393083,29.4743863590761,28.440142377686922,24.345425781528078,18.296620817079841,12.419905733766839,6.49929683801497,-0.29429722689156795,0.86971104204090188,5.0965184012014486,10.520115709534972,16.368572809695078,21.362873189727388,24.368572809695078,23.568142073717222,19.4685731911648,13.40892014720839,8.14811495555542,2.6052712303345253,95.0246608700499,76.470854847752875,104.92033556569935,104.60536949122819,111.53852590868365,93.262848753887553,113.38625292316247,107.49707077532432,103.38560398053706,92.632848751750558,105.1386775464658,94.8009421887023,6366.0909885243645,9562.6742324659081,12996.77930832466,16516.057359086568,19245.426877170325,20908.857329837683,20628.766450973075,18221.184570191406,14526.719585133556,10615.087857269149,6890.4467350183913,5616.1559125040476,4.62750269962091,4.72750273539715,4.8275029857232052,4.6275026996209094,4.0275027949883411,3.8275028128764617,3.5275027949883428,3.4059096433412037,3.6645470343602264,3.8645470820439427,4.3275029857232061,4.501122687030148,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.746857334101893,1.1768141319638294,1.6762873123225681,2.0253345774117775,2.0120115518248727,1.5868848420475612,1.0368572959549207,0.71685734398035639,0.480006478710569
882a100f67fffff,2021-10-01,United States,USA,504.1085959631032,268.9592401757194,235.14935578738366,2.3837208115817505,8.8747084208422145,8.5214207562059663,11.376946438519594,23.867493361925071,33.257307568138934,26.44728888112002,19.171461267479142,15.51067961584438,13.235193817350256,8.6651422289647062,13.734867687477129,15.922677637127048,17.30142973858209,15.669829432068534,13.009742103054965,8.6628323159640743,13.346498093473549,2.482186235025527,9.2417116285669376,8.734493077693994,10.358927173296179,18.460677576438421,27.91342957250323,25.381534848560886,19.145898620787388,15.965727757890857,13.556208789135971,8.8921855241726959,12.890146649888468,13.778623994210953,13.533137311595839,11.796822486368024,9.699879976219167,6.3075847872349948,7.0101797777941055,0,0,0,7,0,4,0,9,12.162061403508774,Very_High_density_urban,-4.3433508455899119,-3.5583859698841533,0.44252852193969217,5.342528653922515,11.037953235424386,16.237953270185503,19.438177280351542,18.835079847736516,14.547280841621987,8.4423039024171729,3.7175572161063375,-1.3583859827725857,3.6472806340637494,4.9460913522973176,9.6997753850085431,15.778431280807055,21.778430738525479,26.578431471541929,29.500690112141907,28.503787222359673,24.39999961853027,18.225936626335631,12.221344294936348,6.445401243446109,-0.35271934751803147,0.668849500851455,5.047505041496966,10.538177661821267,16.399999618530273,21.399999618530273,24.499775573603113,23.699776336542566,19.496902889782241,13.345401120183496,7.9454012434461081,2.54252847795577,92.222589371586054,75.093275706157456,103.79730418644483,100.96506089992015,108.33494245803018,90.212529887695055,110.32804136293664,107.13114778528362,99.325797107529,88.325797107529,101.33494245803018,93.093275706157456,6278.3452092988464,9406.6061327226726,12897.899431980808,16480.363396125736,19123.033496223758,20767.87092132181,20431.145400257668,18127.647602472534,14530.804161867385,10620.357731108306,6862.2901776882927,5529.6153499659586,4.8000001907348633,4.9000000953674308,5.0000000000000009,4.8000001907348642,4.1999998092651367,4,3.7000000476837158,3.5999999046325684,3.7999999523162842,4.0018794680915528,4.5000000000000009,4.6999998092651367,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.75,1.1799775050152388,1.6799999475479124,2.029999971389771,2.0199999809265137,1.5996903142968932,1.0399999618530276,0.72000002861022949,0.49000000953674328
882a100f63fffff,2021-10-01,United States,USA,16.540207311175045,8.8247683700961428,7.7154389410789026,0.078211791070794581,0.29118630075034246,0.2795946492529342,0.37328673898231007,0.78311159864234,1.0911989334732715,0.86775675693982379,0.629031018784836,0.50891783643781285,0.4342573256579822,0.28431026688319205,0.45065201998282445,0.52243583019955642,0.56767378017433467,0.5141396723025945,0.42686007020572653,0.2842344773280937,0.43790930302737208,0.081442520723066417,0.30322796973261484,0.28658572548233507,0.33988470664498793,0.6057096401857045,0.91586200011063967,0.83278850803211169,0.62819228442333219,0.523848333268521,0.4447900864619076,0.29175973764455426,0.42293605440800741,0.45208770614873411,0.44403308479122711,0.38706320591668203,0.31826084063853288,0.20695691532422306,0.23000962114172205,0,0,0,5,0,1,0,0,10.007358156028369,Very_High_density_urban,-4.3034443172165915,-3.5870261143763131,0.41297380781620319,5.3129739809911181,11.089122723601887,16.290957060051507,19.490957615516894,18.88912196066244,14.590957979484156,8.4129734706504422,3.6785601028195307,-1.3870261704359088,3.666351469423951,4.9068714430135545,9.6999998092651367,15.794401984602004,21.792565899324796,26.592566901952132,29.500000000000004,28.500000000000004,24.399999618530273,18.258917882635451,12.201330817073854,6.4068714430135545,-0.31087762764559579,0.667682473036247,5.0891222986332494,10.589122723601887,16.399999618530273,21.399999618530273,24.5,23.700000762939453,19.5,13.312973919127206,7.9129738856236864,2.5068713476461228,91.76724822595466,75,103.71688734780057,99.8760243896849,107.2334715534966,88.992452388661846,109.00576241597531,107.0610244842988,97.944737931676457,86.944737931676471,100.2334715534966,92.753938198641222,6269.2903512828852,9408.25176265559,12882.587413055491,16537.427644502244,19179.848663298755,20819.036488999631,20548.807645910878,18201.014078007076,14536.241850645762,10620.962117785111,6845.4984597879511,5508.6133654485229,4.8000001907348633,4.9000000953674316,5,4.8000001907348633,4.1999998092651367,4,3.7000000476837158,3.5999999046325684,3.82277089864247,4.0779837730104909,4.5,4.6999998092651367,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.75,1.1799999475479126,1.6799999475479128,2.0299999713897705,2.0199999809265137,1.6000000238418579,1.0399999618530273,0.72000002861022949,0.49000000953674316
882a107257fffff,2021-10-01,United States,USA,1.1716090175526046,0.62509362869576335,0.54651538885684148,0.0055400538953357852,0.020625889833885747,0.019804806868673142,0.026441392049249227,0.055470925583278881,0.077293984095542986,0.061466680346876135,0.044556782352716248,0.036048685426414047,0.030760182535553866,0.020138832965010421,0.031921484728428935,0.037006218182026665,0.040210604433343025,0.036418568287913379,0.030236205284246823,0.020133464415548079,0.031018867411719872,0.0057688994426454083,0.021478849486436902,0.0203000125238837,0.02407539263290525,0.042904835320867585,0.064874167498269214,0.058989739745268971,0.0444973718519852,0.037106271731160045,0.031506259844630818,0.020666508925143438,0.029958251508791965,0.032023179648153287,0.031452639229293367,0.0274172346063812,0.022543688075333457,0.014659585801387371,0.016292500984304265,0,0,0,2,0,0,0,5,3.5204594017094024,Very_High_density_urban,-4.0855374958219288,-3.236653393060775,0.61561995184900542,5.4874826367621115,11.117267256398856,16.273603376861494,19.3970285136061,18.772912451925219,14.620768303088781,8.6397265117679236,4.0160033634350345,-1.0687149360408423,3.9209408808945465,5.3863214381995554,9.8653803170193086,15.678541214544959,21.766071190643135,26.475203456914436,29.463570554867577,28.38487442648653,24.36520732382548,18.299653907694129,12.493735907186899,6.6705074474400012,-0.081857597611410149,1.0857578022133973,5.2460118751588194,10.599655048809959,16.420946598534783,21.398017142029541,24.399654289163855,23.598017901675657,19.496856228745955,13.485757844473531,8.2542261885948882,2.7948899201819573,95.02971096883671,76.6358171700861,105.80039806932064,105.08102029841923,112.09992468206649,93.153158055645108,114.97822866893844,108.49578033448537,103.92386433234552,93.340550188808677,105.00264934693503,94.402405393147149,6233.4232266294139,9279.4590852376041,12732.755285706853,16249.637814843149,19053.447886213933,20694.882744163355,20481.030584270975,18144.823454105139,14484.56070081878,10517.986984713252,6693.7954920187867,5416.3929517422057,4.6388945104810233,4.7204348040824211,4.8391924986509292,4.6391922125486351,4.0207325994436189,3.8207326011903184,3.5391923079160632,3.4068550678770144,3.6843113366453051,3.8483244955479017,4.32043508811087,4.4843113263663374,0.38999998569488525,0.40000000596046448,0.52999997138977051,0.74998273344934485,1.1799826809972578,1.679982680997258,2.0310411701945954,2.0199654478252045,1.599801776807767,1.0399826953023728,0.71998276195665789,0.4898190285139431
882a1072ebfffff,2021-10-01,United States,USA,264.85443879335185,141.30893446052627,123.54550433282549,1.252386996637163,4.6626974814155782,4.4770832878031328,5.9773524738854888,12.539781274566403,17.473110959720007,13.895184223063811,10.072525291392024,8.1491814228154453,6.9536600832166915,4.5525932509213316,7.2161846608364364,8.3656415600730512,9.0900265364004333,8.2327973066827376,6.8352095493515987,4.5513797024474263,7.0121383992975366,1.3041198923045354,4.8555179295972657,4.5890295482681447,5.4424936042877716,9.6990854366880725,14.6654824529021,13.335246153561908,10.059095005703551,8.3882600089136314,7.1223187572836695,4.6718799433041633,6.7723751466318083,7.239173702320862,7.1101970997833925,6.1979517246935281,5.096235828665324,3.313952288949674,3.6830898089660828,0,0,0,2,0,0,2,0,0.35878378378378406,Very_High_density_urban,-4.195064195472499,-3.389511704144728,0.60524419334494628,5.4853051668565067,11.196826994444228,16.299999237060547,19.497546829809782,18.809270415618144,14.60207156680173,8.41048815763832,3.78332719349308,-1.2895116146276862,3.804524497604127,5.2974811031028333,9.9793412224132947,15.7940361973024,21.794487280814987,26.574508576662797,29.506931663616612,28.482271434790444,24.480060897302486,18.297788741735072,12.399691234964131,6.5872070972815857,-0.19285379562404889,0.9758725072456198,5.2968273456554611,10.677850380314281,16.494447297890588,21.467763870263113,24.494447297890588,23.667764633202566,19.510233425632045,13.387206890319355,8.0927600951443512,2.6229726020514281,95.022105290554634,76.20207125633317,104.20207125633317,103.01490856911607,111.02210529055461,92.0221052905546,114.20247528085207,108.93086381901341,103.01490856911607,91.41547491892419,104.00000000000001,95,6503.2108282192767,9669.3506758532476,13140.555443465577,16636.991029538171,19367.458294723419,21081.629026802959,20778.913063715005,18368.481334321881,14587.204803357048,10713.72448570788,6923.2306800278984,5726.8658799469385,4.7864804011165729,4.886480370216276,4.9864802748488444,4.7879712637153444,4.1640050326276619,3.9864802748488448,3.6879711493432841,3.5640051279950931,3.7999999523162842,4,4.4864802748488444,4.6055525802647317,0.38999998569488525,0.40999999642372137,0.54000002145767212,0.74999999999999989,1.1858452624650249,1.6878570453629829,2.0394446942898106,2.0277607547784249,1.6058452690781513,1.0499999523162842,0.72584527384652231,0.49000000953674311
